Reading in freezeout surface in CCAKE boost invariant format
u1.56108 1.1986 0.0174301
dat: -4.34682 9.67553 10.6383
u_dot_n: 4.99684
m_over_sigma: 0.00719784
Finished reading surface
Surface data read successfully.
Number of points: 136867

There are 328 mesons, 325 baryons and 325 antibaryons

Particle list read successfully.
Number of particles: 978
Sampling particles...
Progress: 0%
Progress: 0% completed
mbar: 0.920866, omega: 0.0116798, max_w: 1.01086
mbar: 0.920692, omega: 0.00226634, max_w: 1.0014
mbar: 0.920691, omega: 0.00134242, max_w: 1.00047
mbar: 0.919646, omega: 0.028226, max_w: 1.02773
mbar: 0.921702, omega: 0.0232675, max_w: 1.02265
mbar: 0.919202, omega: 0.0253699, max_w: 1.0248
mbar: 0.922192, omega: 0.0342856, max_w: 1.03398
mbar: 0.919213, omega: 0.0400135, max_w: 1.03992
mbar: 0.9191, omega: 0.0508136, max_w: 1.05121
mbar: 0.92314, omega: 0.0545801, max_w: 1.05517
mbar: 0.920386, omega: 0.0748201, max_w: 1.07675
mbar: 0.919585, omega: 0.017043, max_w: 1.0163
mbar: 0.919865, omega: 0.00832317, max_w: 1.00748
mbar: 0.922105, omega: 0.0232447, max_w: 1.02262
mbar: 0.920427, omega: 0.0247233, max_w: 1.02414
